Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
SA_2				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_2	Parastagonospora nodorum SA_2
SA_15				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_15	Parastagonospora nodorum SA_15
SA_134				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_134	Parastagonospora nodorum SA_134
SA_125				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_125	Parastagonospora nodorum SA_125
SA_10				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_10	Parastagonospora nodorum SA_10
IR_C2.2B				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_C2.2b	Parastagonospora nodorum IR_C2.2B
IR_C2.2A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	infected glume	Parastagonospora nodorum	SNIR05_C2.2a	Parastagonospora nodorum IR_C2.2A
AUS_1F2				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1F2	Parastagonospora nodorum AUS_1F2
IR_B3.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_B3.1a	Parastagonospora nodorum IR_B3.1A
IR_B2.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_B2.1a	Parastagonospora nodorum IR_B2.1A
IR_B1.2A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_B1.2a	Parastagonospora nodorum IR_B1.2A
IR_9.3B				Mohammad Razavi	2010	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	IR10_9.3b	Parastagonospora nodorum IR_9.3B
IR_H7.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_H7.1a	Parastagonospora nodorum IR_H7.1A
IR_10.4A				Mohammad Razavi	2010	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	IR10_10.4a	Parastagonospora nodorum IR_10.4A
IR_C5.2A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_C5.2a	Parastagonospora nodorum IR_C5.2A
IR_H4.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_H4.1a	Parastagonospora nodorum IR_H4.1A
IR_H2.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_H2.1a	Parastagonospora nodorum IR_H2.1A
AUS_1E8				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1E8	Parastagonospora nodorum AUS_1E8
IR_G2.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_G2.1a	Parastagonospora nodorum IR_G2.1A
