Name	Description	SourceMTOverride	SampleMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [host_common_name]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [fungus organism]	Characteristics [fungal strain]
B16436	Aligned genome sequence reads - Candida auris clinical isolates			21-Jan-14	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16436
B16433	Aligned genome sequence reads - Candida auris clinical isolates			17-Dec-13	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16433
B16431	Aligned genome sequence reads - Candida auris clinical isolates			10-Oct-13	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16431
B16425	Aligned genome sequence reads - Candida auris clinical isolates			8-Nov-11	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16425
B12100	Aligned genome sequence reads - Candida auris clinical isolates			7-Sep-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12100
B12099	Aligned genome sequence reads - Candida auris clinical isolates			19-Aug-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12099
B12098	Aligned genome sequence reads - Candida auris clinical isolates			20-Sep-16	Panama	North America	 Panama City	Homo sapiens	Secretion	Candida infection or colonization	Candida auris	Candida auris B12098
B12097	Aligned genome sequence reads - Candida auris clinical isolates			19-Aug-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12097
B12096	Aligned genome sequence reads - Candida auris clinical isolates			20-Sep-16	Panama	North America	 Panama City	Homo sapiens	Hemodialysis Catheter	Candida infection or colonization	Candida auris	Candida auris B12096
B12095	Aligned genome sequence reads - Candida auris clinical isolates			2-Aug-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12095
B12094	Aligned genome sequence reads - Candida auris clinical isolates			22-Sep-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12094
B12037	Aligned genome sequence reads - Candida auris clinical isolates			18-Oct-12	Canada	North America	 Quebec	Homo sapiens	ear fluid	Candida infection or colonization	Candida auris	Candida auris B12037
B11897	Aligned genome sequence reads - Candida auris clinical isolates			15-Apr-15	Israel	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B11897
B11896	Aligned genome sequence reads - Candida auris clinical isolates			15-Apr-15	Israel	Asia		Homo sapiens	urine	Candidemia	Candida auris	Candida auris B11896
B11895	Aligned genome sequence reads - Candida auris clinical isolates			15-May-14	Israel	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B11895
B11894	Aligned genome sequence reads - Candida auris clinical isolates			15-Aug-14	Israel	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B11894
B11893	Aligned genome sequence reads - Candida auris clinical isolates			15-May-14	Israel	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B11893
B11892	Aligned genome sequence reads - Candida auris clinical isolates			15-Oct-14	Israel	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B11892
B11855	Aligned genome sequence reads - Candida auris clinical isolates			8-Aug-16	Colombia	South America	 Bogota	Homo sapiens	secretion	Candida infection or colonization	Candida auris	Candida auris B11855
B11854	Aligned genome sequence reads - Candida auris clinical isolates			28-Jul-16	Colombia	South America	 Bogota	Homo sapiens	blood	Candida infection or colonization	Candida auris	Candida auris B11854
B11809	Aligned genome sequence reads - Candida auris clinical isolates			15-Jan-04	South Korea	Asia		Homo sapiens	Auditory canal	Candida infection or colonization	Candida auris	Candida auris B11809
B11808_resequence1	Aligned genome sequence reads - Candida auris clinical isolates			15-Jan-04	South Korea	Asia		Homo sapiens	Auditory canal	Candida infection or colonization	Candida auris	Candida auris B11808_resequence1
B11796	Aligned genome sequence reads - Candida auris clinical isolates			12-Mar-16	Colombia	South America	 Barranquilla	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B11796
